,name,ticker,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id,price
184,American Century Focused Dynamic Growth ETF,FDG,1710607,025072810,BATS,False,ETF,,,,,,,,USD,Missouri; U.S.A,8a03fe3ed9c3fda10cc1858714258595,65.63
185,Fidelity Digital Health ETF,FDHT,945908,316092238,BATS,False,ETF,,,,,,,,USD,Massachusetts; U.S.A,f0db0eff2095a978351befd113539ee1,21.605
186,Fidelity Electric Vehicles and Future Transportation ETF,FDRV,945908,316092220,BATS,False,,,,,,,,,USD,Massachusetts; U.S.A,3c9b2598c02c1007283203507b936808,21.98
187,TrueShares Structured Outcome (February) ETF,FEBZ,1683471,53656F755,BATS,False,ETF,,,,,,,,USD,Wisconsin; U.S.A,29a2667e8462a30051a94baa911b5658,27.6672
188,Emles Federal Contractors ETF,FEDX,1755351,291361871,BATS,False,ETF,,,,,,,,USD,Texas; U.S.A,8234c35411b62da9905049e443213d63,26.47
189,FT Cboe Vest US Equity Buffer ETF - February,FFEB,1667919,33740F763,BATS,False,ETF,,,,,,,,USD,Illinois; U.S.A,7b01f87faa58e8f2409930df48457ef7,36.87
192,FormulaFolios Tactical Growth ETF,FFTG,1644419,66538H575,BATS,False,ETF,,,,,,,,USD,Ohio; U.S.A,37b8282c5f90447dc9db3753fbae7463,27.96
193,FormulaFolios Tactical Income ETF,FFTI,1644419,66538H666,BATS,False,ETF,,,,,,,,USD,Ohio; U.S.A,d6cdcb2c3503891a53b8f0c057b8ce46,22.66
194,Fidelity Growth Opportunities ETF,FGRO,945908,316092337,BATS,False,ETN,,,,,,,,USD,Massachusetts; U.S.A,01275143bb413e85fbafb6ff41cb253e,16.55
195,iShares US Fixed Income Balanced Risk Factor ETF,FIBR,1100663,46435U796 46431W846,BATS,False,ETF,,,,,,,,USD,California; U.S.A,b5dd4e2fb5a898f41944912bc0fd4dce,94.5667
196,FT Cboe Vest US Equity Buffer ETF - January,FJAN,1667919,33740F623,BATS,False,ETF,,,,,,,,USD,Illinois; U.S.A,9be2038472d53d37f96ca6e3ee706aea,33.62
197,FT Cboe Vest US Equity Buffer ETF - July,FJUL,1667919,33740U208,BATS,False,ETF,,,,,,,,USD,Illinois; U.S.A,dfa1b34e8b23d9be7b1ce55af26b022c,34.64
198,FT Cboe Vest US Equity Buffer ETF - June,FJUN,1667919,33740F722,BATS,False,ETF,,,,,,,,USD,Illinois; U.S.A,15b8d00e109370abd3d5f3fe9795e56a,36.37
200,Franklin Liberty Senior Loan ETF,FLBL,1655589,35473P595,BATS,False,ETF,,,,,,,,USD,California; U.S.A,c6238c04f7b3a67136159e1fc9b0fef5,24.51
201,Fidelity Low Duration Bond Factor ETF,FLDR,1562565,316188408,BATS,False,ETF,,,,,,,,USD,Massachusetts; U.S.A,4599c47d2a6ccce5f68690e532e2598b,50.36
202,Franklin Liberty High Yield Corporate ETF,FLHY,1655589,35473P629,BATS,False,ETF,,,,,,,,USD,California; U.S.A,fbec482f9910283978ab1525b341e6b6,24.73
203,Franklin Liberty International Aggregate Bond ETF,FLIA,1655589,35473P611,BATS,False,ETF,,,,,,,,USD,California; U.S.A,eb9c9e823d2a4e47cace8a37c51a5e30,23.9601
204,iShares Floating Rate Bond ETF,FLOT,1100663,46429B655,BATS,False,ETF,,,,,,,,USD,California; U.S.A,d05879c4af2f9efe38b373ded808dcd9,50.5
