,Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Cumulative Return %,Open,High,Low,Cumulative Change %,t,time,daily return
38,05/04/20,45.14,22544160,-0.46,-1.01,-1.01,45.52,-15.17,45.32,45.48,44.6,-15.88,2020-05-04,2020.339726027397,-1.01
39,05/05/20,45.4,13370530,0.26,0.58,0.58,45.78,-14.68,45.36,46.1,45.15,-15.39,2020-05-05,2020.342465753425,0.58
40,05/06/20,44.75,11892890,-0.65,-1.43,-1.43,45.13,-15.9,45.4,45.63,44.72,-16.6,2020-05-06,2020.345205479452,-1.43
41,05/07/20,44.6,16474650,-0.15,-0.34,-0.34,44.98,-16.18,45.15,45.24,44.5,-16.88,2020-05-07,2020.3479452054796,-0.34
42,05/08/20,46.11,13987840,1.51,3.39,3.39,46.5,-13.34,45.08,46.22,44.88,-14.07,2020-05-08,2020.3506849315067,3.39
43,05/11/20,45.54,10874600,-0.57,-1.24,-1.24,45.93,-14.41,45.69,46.11,45.52,-15.13,2020-05-11,2020.358904109589,-1.24
44,05/12/20,44.82,13424420,-0.72,-1.58,-1.58,45.2,-15.77,45.6,45.85,44.8,-16.47,2020-05-12,2020.3616438356164,-1.58
45,05/13/20,43.94,15854780,-0.88,-1.96,-1.96,44.31,-17.42,44.71,44.78,43.52,-18.11,2020-05-13,2020.364383561644,-1.96
46,05/14/20,43.7,18000820,-0.24,-0.55,-0.55,44.07,-17.87,43.38,44.06,43.23,-18.56,2020-05-14,2020.3671232876711,-0.55
47,05/15/20,43.26,31579430,-0.44,-1.01,-1.01,43.63,-18.7,43.96,44.69,43.2,-19.38,2020-05-15,2020.3698630136987,-1.01
48,05/18/20,44.97,26122330,1.71,3.95,3.95,45.35,-15.49,44.82,45.39,44.13,-16.19,2020-05-18,2020.3780821917808,3.95
49,05/19/20,44.54,17839920,-0.43,-0.96,-0.96,44.92,-16.29,45.01,45.33,44.25,-17.0,2020-05-19,2020.380821917808,-0.96
50,05/20/20,45.89,22295930,1.35,3.03,3.03,46.28,-13.76,45.2,46.17,45.02,-14.48,2020-05-20,2020.383561643836,3.03
51,05/21/20,45.17,13193530,-0.72,-1.57,-1.57,45.55,-15.11,46.08,46.09,45.03,-15.82,2020-05-21,2020.386301369863,-1.57
52,05/22/20,45.03,13008410,-0.14,-0.31,-0.31,45.41,-15.37,45.22,45.31,44.65,-16.08,2020-05-22,2020.3890410958904,-0.31
53,05/26/20,46.09,22223100,1.06,2.35,2.35,46.48,-13.38,46.92,46.93,45.93,-14.11,2020-05-26,2020.4,2.35
54,05/27/20,46.73,18447620,0.64,1.39,1.39,47.13,-12.18,47.0,47.09,46.17,-12.91,2020-05-27,2020.4027397260277,1.39
55,05/28/20,47.09,16234420,0.36,0.77,0.77,47.49,-11.5,47.3,47.46,46.82,-12.24,2020-05-28,2020.4054794520548,0.77
56,05/29/20,46.68,51129920,-0.41,-0.87,-0.87,47.07,-12.27,46.68,47.19,46.14,-13.01,2020-05-29,2020.4082191780824,-0.87
57,06/01/20,46.99,17013040,0.31,0.66,0.66,47.39,-11.69,46.66,47.23,46.59,-12.43,2020-06-01,2020.4136986301369,0.66
58,06/02/20,46.9,15255150,-0.09,-0.19,-0.19,47.3,-11.86,47.16,47.28,46.56,-12.6,2020-06-02,2020.4164383561645,-0.19
59,06/03/20,47.9,15508290,1.0,2.13,2.13,48.31,-9.98,47.27,48.12,47.12,-10.73,2020-06-03,2020.419178082192,2.13
